Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Month Name,Cost
12/31/2024,Printer,Office,North,4,3640,348.93,December,3291.07
11/27/2022,Mouse,Accessories,East,7,1197,106.53,November,1090.47
5/11/2022,Tablet,Electronics,South,5,5865,502.73,May,5362.27
3/16/2024,Mouse,Accessories,South,2,786,202.87,March,583.13
9/10/2022,Mouse,Accessories,West,1,509,103.28,September,405.72
12/1/2023,Camera,Electronics,West,1,524,106.35,December,417.65
10/9/2023,Headphones,Accessories,North,7,6167,1027.98,October,5139.02
1/14/2022,Camera,Electronics,South,7,3059,873.5,January,2185.5
4/2/2022,Smartwatch,Electronics,East,9,5526,595.28,April,4930.72
10/22/2024,Printer,Office,South,8,672,186.37,October,485.63
12/4/2023,Monitor,Accessories,South,6,7074,1357.68,December,5716.32
9/27/2022,Smartwatch,Electronics,East,2,502,137.4,September,364.6
12/21/2023,Tablet,Electronics,North,7,7462,2166.17,December,5295.83
2/3/2024,Smartphone,Electronics,West,5,4205,585.29,February,3619.71
10/10/2023,Camera,Electronics,West,1,570,138.54,October,431.46
10/16/2022,Headphones,Accessories,East,1,441,102.42,October,338.58
5/15/2022,Mouse,Accessories,North,7,7469,589.81,May,6879.19
2/11/2023,Tablet,Electronics,South,2,2212,145.75,February,2066.25
12/27/2023,Tablet,Electronics,East,5,740,146.39,December,593.61
10/5/2023,Headphones,Accessories,North,1,662,193.92,October,468.08
3/5/2024,Mouse,Accessories,North,7,5712,651.27,March,5060.73
7/18/2023,Smartwatch,Electronics,North,3,2739,572.73,July,2166.27
6/25/2023,Keyboard,Accessories,West,5,1400,213.63,June,1186.37
11/13/2023,Printer,Office,North,3,3477,939.2,November,2537.8
7/9/2022,Camera,Electronics,North,5,3475,570.36,July,2904.64
12/11/2023,Laptop,Electronics,West,9,6138,1562.14,December,4575.86
3/18/2023,Camera,Electronics,West,5,3665,406.93,March,3258.07
8/9/2024,Printer,Office,North,2,2372,206.42,August,2165.58
5/4/2024,Laptop,Electronics,North,2,1382,211.11,May,1170.89
9/4/2022,Laptop,Electronics,West,1,1126,194.08,September,931.92
10/21/2022,Printer,Office,West,8,1376,152.1,October,1223.9
1/22/2024,Mouse,Accessories,West,4,988,147.91,January,840.09
4/9/2023,Laptop,Electronics,North,9,10773,1907.36,April,8865.64
2/7/2023,Headphones,Accessories,South,4,3252,713.46,February,2538.54
5/4/2023,Headphones,Accessories,North,3,2739,202.81,May,2536.19
4/18/2023,Tablet,Electronics,South,7,2709,702.79,April,2006.21
12/12/2022,Printer,Office,West,3,936,201.24,December,734.76
9/11/2022,Camera,Electronics,West,4,3720,410.92,September,3309.08
3/26/2024,Mouse,Accessories,West,5,5320,716.91,March,4603.09
9/20/2023,Headphones,Accessories,East,4,804,121.51,September,682.49
5/25/2023,Laptop,Electronics,North,8,1224,246.77,May,977.23
12/4/2022,Headphones,Accessories,South,9,8667,781.78,December,7885.22
6/10/2022,Monitor,Accessories,West,3,3018,320.11,June,2697.89
2/5/2023,Laptop,Electronics,West,5,4325,1023.39,February,3301.61
